date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,fire_count,fire_frp_sum,fire_frp_mean
2018-08-10,60.6,1,27.17083333333333,36.4,16.6,7.316666666666666,31.666666666666668,59.0,13.0,0.0,,7.625,17.0,88.88416666666666,7.929166666666666,6.4,11059.0,188666.27,17.059975585495977
2018-08-11,44.8,1,19.641666666666666,23.9,14.0,9.308333333333334,52.625,78.0,35.0,0.0,,22.0,41.0,89.0775,6.8,3.2,10025.0,111014.68,11.073783541147131
2018-08-12,13.6,1,12.575,17.8,8.7,8.075000000000001,74.70833333333333,92.0,56.0,0.0,,16.583333333333332,32.0,89.15583333333332,13.1625,6.4,7241.0,68524.95,9.463464991023338
2018-08-13,8.52,1,14.041666666666666,20.7,8.5,5.866666666666667,59.958333333333336,81.0,37.0,0.0,,11.208333333333334,19.0,89.51291666666667,21.57916666666667,9.7,5108.0,60109.66,11.767748629600627
2018-08-14,18.5,1,20.641666666666666,28.8,9.7,5.870833333333334,42.04166666666666,75.0,20.0,0.0,,8.5,15.0,88.85916666666667,9.991666666666667,4.0,11720.0,242384.01,20.6812295221843
2018-08-15,154.0,1,19.1375,24.8,14.7,7.466666666666666,47.25,67.0,35.0,0.0,,10.541666666666666,20.0,88.88291666666667,2.316666666666667,1.2,12411.0,90250.83,7.271841914430747
2018-08-16,49.5,1,19.016666666666666,28.1,10.3,9.558333333333334,58.04166666666666,85.0,29.0,0.0,,11.208333333333334,21.0,89.21833333333332,3.633333333333333,1.6,10021.0,162794.18,16.24530286398563
2018-08-17,52.2,1,19.83333333333333,27.8,12.4,7.941666666666666,49.375,74.0,25.0,0.0,,8.0,21.0,89.18624999999999,6.541666666666667,6.4,14695.0,319401.06,21.735356243620277
2018-08-18,96.0,1,15.129166666666668,19.0,7.8,4.791666666666667,51.458333333333336,76.0,32.0,0.0,,17.458333333333332,34.0,89.73166666666667,4.720833333333334,1.6,15348.0,144599.38,9.421382590565546
2018-08-19,48.6,1,12.495833333333332,18.8,4.2,3.575,57.25,83.0,36.0,0.0,,5.25,13.0,89.86708333333333,6.683333333333334,6.4,11988.0,101348.13,8.454131631631633
2018-08-20,33.3,1,14.375,18.8,10.8,6.045833333333333,59.54166666666666,86.0,38.0,0.0,,10.833333333333334,22.0,90.0425,8.329166666666667,6.4,13565.0,158370.49,11.674934758569847
