date,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km
2019-08-29,15.066666666666668,20.5,11.0,4.908333333333333,51.166666666666664,64.0,36.0,0.0,,17.458333333333332,29.0,89.40833333333335,33.84583333333334,24.1
2019-08-30,13.825000000000001,21.4,8.2,7.454166666666667,66.70833333333333,90.0,42.0,0.0,,8.291666666666666,20.0,89.29916666666666,32.90416666666667,19.3
2019-08-31,12.504166666666668,18.3,7.6,10.25,86.375,93.0,64.0,0.0,,9.041666666666666,21.0,89.32125,21.78333333333333,6.4
2019-09-01,13.120833333333332,16.6,11.3,11.608333333333334,90.79166666666667,98.0,76.0,0.0,,12.375,22.0,89.19958333333334,6.770833333333333,0.0
2019-09-02,15.1625,21.0,10.7,8.833333333333334,68.125,94.0,44.0,0.0,,11.875,28.0,89.10833333333333,37.5,8.1
2019-09-03,17.1875,24.9,7.9,6.6125,53.75,86.0,25.0,0.0,,7.75,14.0,89.17541666666666,39.225,24.1
2019-09-04,18.55,24.7,12.1,7.504166666666666,50.583333333333336,79.0,29.0,0.0,,13.875,28.0,88.77583333333332,40.56666666666667,16.1
2019-09-05,15.879166666666668,21.8,10.6,8.487499999999999,63.625,89.0,41.0,0.0,,11.375,35.0,89.68875000000001,43.92083333333334,24.1
2019-09-06,14.487499999999999,19.1,9.2,8.1625,66.66666666666667,92.0,49.0,0.0,,13.958333333333334,26.0,89.57875,31.82916666666667,24.1
2019-09-07,16.820833333333333,25.2,10.5,10.445833333333333,70.45833333333333,97.0,33.0,0.0,,15.041666666666666,27.0,89.22625,26.087500000000002,1.0
2019-09-08,14.029166666666667,16.0,11.8,10.4375,79.08333333333333,89.0,64.0,0.0,,13.416666666666666,22.0,88.81458333333335,13.9,8.1
2019-09-09,9.4,11.4,7.0,8.049999999999999,91.25,95.0,80.0,0.0,,14.0,19.0,88.92541666666666,7.891666666666667,2.4
2019-09-10,7.433333333333334,9.4,6.0,5.679166666666667,88.91666666666667,95.0,76.0,0.0,,11.5,16.0,89.37541666666668,12.154166666666667,6.4
2019-09-11,9.966666666666667,15.4,7.1,6.170833333333333,78.625,95.0,55.0,0.0,,15.375,23.0,89.51083333333334,18.866666666666667,4.0
2019-09-12,13.591666666666667,21.1,5.6,5.275,61.458333333333336,93.0,35.0,0.0,,10.791666666666666,17.0,89.34041666666667,43.71666666666667,19.3
2019-09-13,14.387500000000001,19.5,9.7,4.8875,53.75,72.0,33.0,0.0,,12.708333333333334,36.0,88.7,42.90833333333334,24.1
