date,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km
2022-04-19,2.0,4.65,2.325,205.5391118115296,233.01632351726602,0.020875701826757218,7.156498696022213e-05,1.0,3.04,205.5391118115296
2022-04-20,5.0,40.34,8.068000000000001,261.84039723355403,300.8854010888911,0.14460685948979274,4.5520322276504106e-05,0.0,0.0,399.5941996428686
2022-04-21,8.0,40.81,5.10125,318.3496384729691,363.36533375390354,0.11148956669541793,0.0,0.0,0.0,399.5941996428686
2022-04-22,5.0,15.770000000000001,3.1540000000000004,318.0602149599919,347.52014123589356,0.04384512850270921,5.250206387461966e-05,0.0,0.0,399.5941996428686
2022-04-23,13.0,40.9,3.146153846153846,57.43860542606028,277.63848332028215,0.23503230566135327,0.0021319765417257925,10.0,28.78,57.43860542606028
2022-04-24,11.0,31.59,2.8718181818181816,62.19088734636715,267.60110052531644,0.11951180712733722,0.00031420451415582436,2.0,4.33,74.27217050224654
2022-04-25,4.0,3.94,0.985,74.17988595373266,198.60961430665338,0.0263854923723693,8.897903952468915e-05,0.0,0.0,399.5941996428686
2022-04-26,2.0,2.1399999999999997,1.0699999999999998,260.3936255892388,317.35463851711745,0.0070488871193231505,0.0,0.0,0.0,399.5941996428686
2022-04-27,6.0,14.14,2.356666666666667,163.98671609129076,299.26697553411344,0.05459300692938866,5.169424860858929e-05,3.0,8.21,343.2040854055595
2022-04-28,9.0,18.07,2.0077777777777777,74.51377252285735,229.9020811960502,0.0944927819716075,0.00018344758031469354,1.0,0.9,74.51377252285735
2022-04-29,9.0,36.44,4.0488888888888885,74.18407590833603,215.98919914809895,0.15679519361435212,0.0005805120188089587,6.0,16.380000000000003,74.18407590833603
2022-04-30,13.0,54.55,4.196153846153846,10.19850422525794,202.45031749695346,2.423753430799886,0.17897527092264404,6.0,33.66,10.19850422525794
2022-05-01,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2022-05-02,4.0,5.2700000000000005,1.3175000000000001,151.2010123546196,239.5116052176382,0.02606278007463514,1.6732438696603097e-05,0.0,0.0,399.5941996428686
2022-05-03,17.0,272.85,16.05,78.31118264808624,298.4902815723389,0.8791701161069488,0.0019801049108991993,2.0,9.77,78.31118264808624
2022-05-04,2.0,1.98,0.99,221.3219815872194,240.8988411702482,0.008340233699116512,0.0,0.0,0.0,399.5941996428686
2022-05-05,2.0,1.76,0.88,260.22210157381187,260.4108536717803,0.006732700241287618,0.0,0.0,0.0,399.5941996428686
2022-05-06,1.0,0.76,0.76,260.3814817167531,260.3814817167531,0.0029076275603318238,0.0,0.0,0.0,399.5941996428686
2022-05-07,3.0,7.75,2.5833333333333335,314.58781415228697,316.98099773201665,0.02429497581425142,0.0,0.0,0.0,399.5941996428686
2022-05-08,4.0,5.8,1.45,263.47907590757285,304.4852810822775,0.018581050815618165,0.0,0.0,0.0,399.5941996428686
2022-05-09,5.0,5.8999999999999995,1.18,260.16218520499285,276.648959545841,0.02125092006283326,3.131902578625058e-05,2.0,2.31,284.06201983368413
2022-05-10,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2022-05-11,4.0,25.89,6.4725,211.23915106753225,258.1066166995747,0.11910455199253693,0.00032389396283230706,0.0,0.0,399.5941996428686
2022-05-12,4.0,3.34,0.835,260.4395307012861,299.85276875619314,0.01130190362660077,0.0,0.0,0.0,399.5941996428686
2022-05-13,4.0,4.859999999999999,1.2149999999999999,224.8940596103286,279.7682197881488,0.019171535237285917,0.0,0.0,0.0,399.5941996428686
2022-05-14,7.0,75.49000000000001,10.784285714285716,74.23442625146482,167.2602443650794,0.4515943863577457,0.0012981665311331259,1.0,0.85,74.23442625146482
2022-05-15,9.0,25.89,2.876666666666667,44.9170435341941,207.40476385470942,0.1417922163903205,0.0002227584261554339,1.0,1.08,74.31347703278254
2022-05-16,7.0,41.870000000000005,5.981428571428572,74.43447537580894,245.11495951334138,0.17873061341007213,0.000195186911622301,2.0,4.29,74.43447537580894
2022-05-17,2.0,2.46,1.23,260.3409017638592,306.2577595842095,0.008537428570461572,5.726140009290881e-06,1.0,0.88,352.1746174045598
2022-05-18,7.0,5.54,0.7914285714285715,214.8217134555937,265.8434541191317,0.021203980649164796,0.0,0.0,0.0,399.5941996428686
2022-05-19,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2022-05-20,1.0,0.95,0.95,380.37751802404836,380.37751802404836,0.0024909701151815044,6.524101398181087e-06,1.0,0.95,380.37751802404836
2022-05-21,8.0,8.58,1.0725,74.30099752862644,283.4500399853891,0.043549856959734276,0.00013609580363368396,4.0,3.79,144.8993508410759
2022-05-22,9.0,16.77,1.8633333333333333,93.71461971905919,247.08563851113766,0.06580091250974222,6.554738842474257e-05,2.0,10.07,388.4967786014091
2022-05-23,19.0,25.33,1.333157894736842,84.03547599528164,219.09314995646085,0.13873788856517044,1.531045922557375e-05,0.0,0.0,399.5941996428686
2022-05-24,2.0,2.4000000000000004,1.2000000000000002,254.89896679385646,257.704021848821,0.009289838206882183,0.0,0.0,0.0,399.5941996428686
2022-05-25,0.0,0.0,0.0,399.8433947969414,0.0,0.0,0.0,0.0,0.0,399.5941996428686
2022-05-26,28.0,137.78,4.920714285714285,74.25242756005869,198.7664035555527,1.1353481010775992,0.008981737076358428,15.0,121.29,74.25242756005869
2022-05-27,3.0,6.92,2.3066666666666666,283.0348722759673,283.22085014523856,0.024347812698532346,0.0,0.0,0.0,399.5941996428686
2022-05-28,10.0,38.15,3.815,72.03335344191733,250.10494562498744,0.41789369606969784,0.004847748634460444,2.0,28.12,72.03335344191733
2022-05-29,6.0,8.7,1.45,176.94733834151728,274.6162463783949,0.039836671445208575,0.00016563146026146684,5.0,7.98,176.94733834151728
