date,pm25,pm25_station_count,wx_temp_mean_c,wx_temp_max_c,wx_temp_min_c,wx_dewpoint_mean_c,wx_rh_mean_pct,wx_rh_max_pct,wx_rh_min_pct,wx_precip_total_mm,wx_precip_max_mm,wx_windspd_mean_kmh,wx_windspd_max_kmh,wx_pressure_mean_kpa,wx_visibility_mean_km,wx_visibility_min_km,era5_u10_mean_ms,era5_v10_mean_ms,era5_wind_speed_mean_ms,era5_wind_speed_max_ms,era5_wind_from_deg,era5_t2m_mean_c,era5_t2m_max_c,era5_t2m_min_c,era5_d2m_mean_c,era5_sp_mean_hpa,fire_count,fire_frp_sum,fire_frp_mean,fire_nearest_km,fire_mean_km,fire_frp_dist_weighted_sum,fire_smoke_transport_index,upwind_fire_count,upwind_fire_frp_sum,upwind_fire_nearest_km
2018-04-23,4.88,1.0,6.941666666666666,13.2,0.2,-4.9875,44.208333333333336,66.0,29.0,0.0,,14.875,26.0,90.09166666666665,47.612500000000004,24.1,0.27396518995833335,0.282854734,1.8558474787301067,2.9255509268404474,224.0853594353327,4.7579229166667005,13.350850000000037,-1.7839999999999918,-3.991967916666624,900.528055,11.0,40.56,3.6872727272727275,74.42487643459,280.98129424351066,0.14417759207892059,9.867476045092441e-05,1.0,2.01,285.6318217548252
2018-04-24,7.75,1.0,12.0,20.0,1.4,-10.083333333333334,27.416666666666668,61.0,8.0,0.0,,9.791666666666666,17.0,89.57666666666667,47.275000000000006,24.1,1.6132704416666668,1.6707483933333334,2.7950684353442212,3.5462276014636744,223.99729325613293,8.414156666666656,20.33587,-0.6460999999999899,-4.039268333333325,898.73056125,6.0,17.59,2.9316666666666666,74.16183911776623,263.89798137419734,0.06340430881583768,0.00016072447129828035,2.0,10.0,347.4732148840075
2018-04-25,8.94,1.0,9.533333333333333,14.6,5.0,-4.041666666666667,40.083333333333336,64.0,23.0,0.0,,18.291666666666668,36.0,89.39125,32.8375,24.1,1.9490292775,-2.0432084416666667,3.57319200980907,5.345730025283284,316.3513894564226,9.287252083333385,17.50137000000001,5.113800000000026,-2.6758908333333125,893.3584708333334,7.0,21.06,3.0085714285714285,279.8722403611859,331.9039221974163,0.06439003565957521,0.0001461029463577172,3.0,13.36,318.0110076866131
2018-04-26,8.1,1.0,12.908333333333333,20.6,3.1,-2.45,37.375,59.0,19.0,0.0,,7.791666666666667,17.0,89.40416666666665,43.24583333333334,24.1,0.5143547083333334,0.4384371439583334,2.194272127161527,3.455814977754712,229.55564953618259,9.729416250000043,20.67446000000001,0.28887000000003127,-2.8806299999999396,894.81278375,71.0,1196.58,16.853239436619717,43.201916397138035,258.1901070093789,5.497267949277094,0.018917797130784373,29.0,789.11,195.9177493383078
2018-04-27,10.1,1.0,13.783333333333333,22.3,3.9,0.18333333333333335,43.625,74.0,21.0,0.0,,20.166666666666668,39.0,88.89125,41.90416666666667,16.1,-1.5617860169583333,2.40325356875,3.2840924125822624,5.466048258661635,146.98164348118468,12.168586666666727,22.429300000000012,2.417720000000031,-0.007496249999974225,891.8977595833334,122.0,1060.07,8.689098360655738,47.99645294667252,277.4321450113879,4.082798906933132,0.00020727544252920212,1.0,1.61,184.1907738989354
2018-04-28,12.0,1.0,16.891666666666666,25.6,4.7,-2.8125,31.291666666666668,62.0,10.0,0.0,,10.041666666666666,26.0,87.80416666666667,35.525,24.1,-0.08564186216666665,2.1349124958333334,2.496907615041175,5.132995041237103,177.70281558746763,14.186664166666674,26.350850000000037,1.928670000000011,-0.9760304166666742,881.2913529166667,31.0,373.13,12.036451612903226,22.79044628044793,252.22441469662948,2.073480929513446,0.009204821607151449,3.0,8.84,162.78605910377243
2018-04-29,4.23,1.0,7.158333333333334,17.1,2.4,1.7791666666666668,72.29166666666667,90.0,27.0,0.0,,26.208333333333332,45.0,88.42041666666667,16.166666666666668,8.1,2.8189118499999997,-3.6386356379166664,5.112806983033912,7.529618987682596,322.23445750585154,10.975783750000005,24.697780000000023,3.246939999999995,0.39835541666667496,880.5613145833333,1.0,0.52,0.52,399.05847644451603,399.05847644451603,0.0012998099793346551,9.309668015427663e-07,0.0,0.0,399.5941996428686
2018-04-30,6.42,1.0,6.9875,13.4,2.0,1.4541666666666666,70.20833333333333,92.0,40.0,0.0,,8.208333333333334,14.0,88.61166666666666,24.908333333333335,4.0,-0.42991066137499995,0.21983465578333328,1.5194807899664975,3.8114162179581808,117.08291451049044,5.106175833333339,13.526270000000011,0.8306500000000483,1.6229900000000157,888.1535725,18.0,103.57000000000001,5.7538888888888895,149.54127320636206,313.7196621998896,0.3254608897638183,0.0002698200953168342,1.0,4.04,149.54127320636206
2018-05-01,4.79,1.0,8.558333333333334,11.7,5.6,-1.758333333333333,49.791666666666664,77.0,32.0,0.0,,19.083333333333332,36.0,88.59416666666665,28.629166666666666,11.3,1.6858863800000001,-2.0241953775000003,3.8243535826913764,6.179170080459757,320.21018689349705,8.239489583333352,13.83280000000002,4.71470000000005,0.6305583333333402,884.9967537499999,8.0,231.77,28.97125,80.11544744381771,144.6116087322181,2.8305803697311642,0.0013502066058375685,1.0,0.82,326.37993750045155
2018-05-02,6.69,1.0,11.5625,19.5,0.2,-3.4333333333333336,40.916666666666664,82.0,19.0,0.0,,15.0,32.0,88.47208333333333,48.28333333333334,24.1,2.152764645,0.27129618375000003,2.5357079285979807,3.8057250089143997,262.81732298698296,8.981486250000046,19.304470000000038,0.9487500000000182,-2.3698874999999475,886.35125,19.0,209.15,11.007894736842106,33.828660257359815,236.78424197153407,1.0971028145880928,0.0028847360407766903,1.0,4.26,273.45022632610767
